,OID_,id,gid,Latitude,Longitude,area_or_ams_map,twn_rng_sec,county,state,tect_prov,location_notes,meas_date,drill_date,collar_elevation,drill_depth,water_table,surf_temp,min_temp,max_temp,bot_temp,interval_id,depth,bottom,geoth_grad,geoth_grad_sym,geoth_grad_std_err,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,GeothermGrad,smu_id,Latitude0,Longitude0
202,399,a521f947-d7b0-334c-8cad-6a07a3eb28f5,NM-00395,34.0983838,-107.5423052,TRES MONTOSAS NEW MEXICO,2S/7W-23CCC,,NM,BASIN AND RANGE,,,,,65.0,,,,,36.0,a,0.0,65.0,163.0,,,,,,163.0,SMU 100572,34.0983838,-107.5423052
203,628,dc57d4fc-882f-3dfc-acc3-d820872607e9,NM-00244,34.0967864,-107.0322907,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/10/1973 0:00:00,,1756.0,,,,,,,a,30.0,149.0,29.0,,,29.0,,0.3,29.0,SMU 100583,34.0967864,-107.0322907
204,180,27cb77ef-2d23-3462-9380-d7112b848640,NM-06105,34.0962851,-107.2932982,Socorro,2S/7W-34,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/28/1980 0:00:00,,2141.0,70.0,,27.2,30.02,,36.91,a,20.0,70.0,137.8,,,,,,137.8,SMU 100562,34.0962851,-107.2932982
205,86,421ce388-5fcc-3681-aa24-a460495e63aa,NM-00342,34.0883875,-106.8388852,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1974 0:00:00,,1472.0,,,,,,,a,24.0,85.0,37.1,,,37.1,,0.6,37.1,SMU 100583,34.0883875,-106.8388852
206,673,7f7712ce-581c-3098-8674-609e76c98206,NM-00396,34.0867841,-107.5431052,TRES MONTOSAS NEW MEXICO,2S/7W-35CCC,,NM,BASIN AND RANGE,,,,,55.0,,,,,14.4,a,0.0,55.0,105.0,,,,,,105.0,SMU 100572,34.0867841,-107.5431052
207,633,70c87592-f366-3d1c-9644-49bf88a18ef0,NM-00262,34.0850868,-106.9955896,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1682.0,,,,,,,a,128.0,149.0,62.4,,,62.4,,0.6,62.4,SMU 100583,34.0850868,-106.9955896
208,708,fe5519fe-2bae-3cd8-b5a7-996101da1bd3,NM-00658,34.0850868,-106.9972896,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1695.0,,,,,,,a,15.0,38.0,37.7,,,37.7,,1.5,37.7,SMU 100583,34.0850868,-106.9972896
209,57,84f7684e-d6fc-3f33-8938-15fba2f929e8,NM-00247,34.0850866,-107.0405909,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/10/1973 0:00:00,,1780.0,,,,,,,a,61.0,149.0,16.9,,,16.9,,0.1,16.9,SMU 100583,34.0850866,-107.0405909
210,182,2a97991b-720f-3646-9e56-7c10554ae6e8,NM-06106,34.0842854,-107.2934981,Socorro,2S/7W-34,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/28/1980 0:00:00,,1825.0,55.9,41.4,12.5,14.06,,16.0,a,30.0,40.0,86.0,,,,,,86.0,SMU 100562,34.0842854,-107.2934981
211,579,384a45ed-f2de-3c77-b980-942b913da9d5,NM-00130,34.0833868,-107.0005897,SOCORRO AMS,,,NM,BASIN AND RANGE,,,,1695.0,,,,,,,b,10.0,20.0,97.9,,,97.9,,,97.9,SMU 100444,34.0833868,-107.0005897
212,732,2be42a28-80ee-3273-8b4c-d19cfa92f87e,NM-00711,34.0833851,-107.3673002,SOCORRO AMS,,,NM,BASIN AND RANGE,,,,2098.0,,,,,,,a,200.0,240.0,44.8,,,44.8,,,44.8,SMU 100634,34.0833851,-107.3673002
213,753,2ea781c8-ae2b-3f03-9ad9-8a52f8a16530,NM-06119,34.0828855,-107.2720975,,3S/5W-14,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/25/1980 0:00:00,,2101.0,135.0,,10.5,14.92,,23.44,a,25.0,135.0,77.5,,,,,,77.5,SMU 100562,34.0828855,-107.2720975
214,60,47c6102a-bdc2-3765-9312-edb23de44270,NM-00256,34.0817868,-107.01059,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1716.0,,,,,,,a,27.0,140.0,51.0,,,51.0,,0.3,51.0,SMU 100583,34.0817868,-107.01059
215,464,f39b2326-aa89-3a40-9824-1a01257794d1,NM-06104,34.0815833,-107.7351106,Socorro,3S/9W-2,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/28/1980 0:00:00,,2150.0,80.0,78.0,10.1,12.22,,15.35,a,20.0,80.0,52.2,,,,,,52.2,SMU 100562,34.0815833,-107.7351106
216,352,9170d0c3-a74c-32ae-8d6f-886043fc749c,NM-00259,34.0800869,-107.0055898,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1743.0,,,,,,,b,55.0,244.0,51.5,,,51.5,,0.2,51.5,SMU 100583,34.0800869,-107.0055898
217,902,73e98cd0-a924-30b0-a7ab-81a96481c29d,NM-00253,34.0800868,-107.0188902,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/10/1973 0:00:00,,1737.0,,,,,,,a,18.0,146.0,27.0,,,27.0,,0.1,27.0,SMU 100583,34.0800868,-107.0188902
218,347,bfd64d1d-cf3d-3362-9755-40946960ebb3,NM-00250,34.0800867,-107.0538912,SOCORRO PROSPECT,3S/2W-4,,NM,BASIN AND RANGE,,1/10/1977 0:00:00,1/16/1977 0:00:00,1801.0,,,,,16.74,16.74,b,21.0,46.0,10.5,,,10.5,,0.4,10.5,SMU 100583,34.0800867,-107.0538912
219,432,61f884f7-e60c-3413-9839-8445aad22e69,NM-00662,34.0733874,-106.9322877,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1457.0,,,,,,,a,15.0,76.0,54.7,,,54.7,,1.0,54.7,SMU 100583,34.0733874,-106.9322877
220,709,7cc21b54-acb6-3294-9f8f-8fcad31fdcec,NM-00669,34.0717874,-106.942288,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1511.0,,,,,,,a,12.0,21.0,252.5,,,252.5,,11.1,252.5,SMU 100583,34.0717874,-106.942288
221,142,fb256ba7-5570-371b-b402-a6bec03590ab,NM-00670,34.0717874,-106.9488882,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1560.0,,,,,,,a,11.0,51.0,159.0,,,159.0,,2.0,159.0,SMU 100583,34.0717874,-106.9488882
222,896,de9a056f-3075-375a-a7e3-971afc495106,NM-00239,34.0717865,-107.1322934,SOCORRO PROSPECT,3S/3W-3,,NM,BASIN AND RANGE,,1/8/1977 0:00:00,,2014.0,,,,,17.68,17.68,b,15.0,27.0,64.5,,,64.5,,0.5,64.5,SMU 100583,34.0717865,-107.1322934
223,705,aff02e84-370a-3965-955a-e25268bc22d8,NM-00655,34.0700874,-106.942288,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1512.0,,,,,,,b,10.0,25.0,240.9,,,240.9,,9.0,240.9,SMU 100583,34.0700874,-106.942288
224,62,9f7e644a-7935-31a5-b6d4-be200ce71995,NM-00265,34.070087,-107.0238903,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/24/1974 0:00:00,,1756.0,,,,,,,a,15.0,149.0,28.0,,,28.0,,0.2,28.0,SMU 100583,34.070087,-107.0238903
225,585,31444783-11c2-3133-b701-cf2fda3dcbdd,NM-00132,34.0667876,-106.9172872,SOCORRO AMS,,,NM,BASIN AND RANGE,,,,1417.0,,,,,,,b,10.0,20.0,96.9,,,96.9,,,96.9,SMU 100444,34.0667876,-106.9172872
226,379,7a23c5aa-0f0b-3835-9f90-72e7f28016f8,NM-00333,34.0667875,-106.9388879,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/5/1974 0:00:00,,1470.0,,,,,,,b,12.0,43.0,118.0,,,118.0,,2.8,118.0,SMU 100583,34.0667875,-106.9388879
227,50,3e017bbe-f85c-38e4-bae0-dbb6f8d5ceac,NM-00204,34.0667875,-106.9505882,SOCORRO AMS,,,NM,BASIN AND RANGE,,,,1512.0,,,,,,,b,10.0,20.0,245.0,,,245.0,,,245.0,SMU 100444,34.0667875,-106.9505882
228,109,c333e7c6-3dfe-3afa-9abc-b0633d1922f9,NM-00403,34.0650844,-107.5856062,TRES MONTOSAS NEW MEXICO,3S/7W-8A,,NM,BASIN AND RANGE,,,,,60.0,,,,,14.7,a,0.0,60.0,33.0,,,,,,33.0,SMU 100572,34.0650844,-107.5856062
229,636,10acc60c-ceb8-3c93-b5ba-e0c331f89bf6,NM-00268,34.0633872,-107.0288904,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/28/1974 0:00:00,,1780.0,,,,,,,a,30.0,152.0,23.0,,,23.0,,0.3,23.0,SMU 100583,34.0633872,-107.0288904
230,140,141508a8-6159-3ee9-b99d-d158e5b40d41,NM-00663,34.0617877,-106.9205873,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1451.0,,,,,,,a,21.0,46.0,33.8,,,33.8,,1.0,33.8,SMU 100583,34.0617877,-106.9205873
231,638,d0b5c844-a047-3183-a523-3240e0f45b73,NM-00271,34.0600873,-107.0188901,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/24/1974 0:00:00,,1780.0,,,,,,,a,27.0,143.0,42.5,,,42.5,,0.1,42.5,SMU 100583,34.0600873,-107.0188901
232,996,85284cfe-c951-3b76-893a-761de6b0566b,NM-00664,34.0567878,-106.9372877,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1488.0,,,,,,,a,21.0,71.0,40.6,,,40.6,,0.5,40.6,SMU 100583,34.0567878,-106.9372877
233,63,9f39a37d-6c4c-372c-8efa-4be05c3dde92,NM-00274,34.0550873,-107.0355905,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1804.0,,,,,,,a,91.0,579.0,18.3,,,18.3,,0.1,18.3,SMU 100583,34.0550873,-107.0355905
234,344,41bc982b-1784-3c65-b414-e6d65aba0633,NM-00241,34.055087,-107.1072926,SOCORRO PROSPECT,3S/3W-13,,NM,BASIN AND RANGE,,1/7/1977 0:00:00,1/9/1977 0:00:00,1950.0,,,,,17.15,17.15,b,21.0,40.0,29.0,,,29.0,,0.4,29.0,SMU 100583,34.055087,-107.1072926
235,823,c6bdab20-5533-3d45-be6f-d96ac998e92b,NM-00023,34.050088,-106.9338876,SOCORRO AMS,,,NM,BASIN AND RANGE,,,,1493.0,,,,,,,a,35.0,70.0,35.5,,,35.5,,,35.5,SMU 100444,34.050088,-106.9338876
236,707,57278f4e-9df0-3141-8458-c3415bc928b9,NM-00656,34.0500879,-106.9388877,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1509.0,,,,,,,a,20.0,100.0,23.8,,,23.8,,0.4,23.8,SMU 100583,34.0500879,-106.9388877
237,454,852dd204-9cf4-308f-97bd-791c437877db,NM-06070,34.0478874,-107.0655913,,3S/2W-17,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/24/1980 0:00:00,,1860.0,60.0,,30.0,14.8,,16.3,a,10.0,60.0,30.0,,,,,,30.0,SMU 100562,34.0478874,-107.0655913
238,433,f8745c9e-29bc-3ffe-8829-f89cc07174bd,NM-00665,34.045088,-106.9538881,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1622.0,,,,,,,a,15.0,30.0,158.5,,,158.5,,2.9,158.5,SMU 100583,34.045088,-106.9538881
239,187,ac1a89fd-27ce-3893-a93e-b35d64d26c44,NM-06121,34.0449855,-107.4679028,,3S/6W-29,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/25/1980 0:00:00,,2157.0,48.0,,11.0,13.06,,14.15,a,23.0,48.0,43.6,,,,,,43.6,SMU 100562,34.0449855,-107.4679028
240,456,28e86297-99ec-3b66-9613-2d75070df39a,NM-06078,34.044283,-107.9799173,,3S/11W-16,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/28/1980 0:00:00,,2165.0,35.0,29.0,11.2,13.5,,14.3,a,27.0,35.0,100.0,,,,,,100.0,SMU 100562,34.044283,-107.9799173
241,141,edd697b7-1c53-3847-8b70-23278c38a572,NM-00666,34.043388,-106.9538881,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1616.0,,,,,,,a,21.0,30.0,141.1,,,141.1,,4.0,141.1,SMU 100583,34.043388,-106.9538881
242,639,bd54ae82-acd6-30cd-aaef-c65445fa4bd7,NM-00277,34.0433878,-107.0072896,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1728.0,,,,,,,a,12.0,152.0,39.7,,,39.7,,0.2,39.7,SMU 100583,34.0433878,-107.0072896
243,914,f3a3137d-f303-3bbe-a34c-172837abf4d7,NM-00280,34.0433875,-107.0655913,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1860.0,,,,,,,a,30.0,60.0,25.1,,,25.1,,1.5,25.1,SMU 100583,34.0433875,-107.0655913
244,952,f2af2b42-d7d4-356d-bf2d-7e97454e580d,NM-00388,34.0400851,-107.5673055,TRES MONTOSAS NEW MEXICO,3S/7W-16D,,NM,BASIN AND RANGE,,,,,100.0,,,,,17.4,a,0.0,100.0,464.0,,,,,,464.0,SMU 100572,34.0400851,-107.5673055
245,1052,edfadd80-1454-30f0-9433-8fde0c387bb2,NM-06101,34.0397851,-107.5680056,Socorro,3S/7W-16,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/28/1980 0:00:00,,2172.0,73.0,48.3,12.7,13.14,,16.02,a,20.0,50.0,65.3,,,,,,65.3,SMU 100562,34.0397851,-107.5680056
246,997,565b249f-deea-3c9f-a6f2-f64b217725d5,NM-00667,34.0383881,-106.9605883,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1642.0,,,,,,,a,34.0,70.0,145.9,,,145.9,,2.2,145.9,SMU 100583,34.0383881,-106.9605883
247,468,67681ab4-a36d-3a5e-95e7-5e834b5055ed,NM-06120,34.0362864,-107.3329989,,3S/5W-27,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/25/1980 0:00:00,,2095.0,180.0,,12.9,14.61,,25.1,a,20.0,180.0,65.6,,,,,,65.6,SMU 100562,34.0362864,-107.3329989
248,371,bd25899e-d8fa-3a5b-9ced-25ae168484ef,NM-00307,34.0350881,-106.985589,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/24/1973 0:00:00,,1725.0,,,,,,,b,183.0,372.0,60.9,,,60.9,,0.3,60.9,SMU 100583,34.0350881,-106.985589
249,967,b28e2061-09db-3783-a958-5bb95caa8a83,NM-00469,34.0350878,-107.0348904,SOCORRO PROSPECT,3S/2W-22,,NM,BASIN AND RANGE,,1/22/1977 0:00:00,1/11/1977 0:00:00,1823.0,18.5,,,,17.28,17.28,a,12.0,18.0,34.5,,,,,,34.5,SMU 1598,34.0350878,-107.0348904
250,923,b3400a68-1778-360e-9fab-8bd1c55f8502,NM-00313,34.0333882,-106.9672884,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/7/1974 0:00:00,,1676.0,,,,,,,a,18.0,122.0,86.0,,,86.0,,0.7,86.0,SMU 100583,34.0333882,-106.9672884
251,374,32a7e7fc-6e47-3ccc-a074-31e8ae886c1f,NM-00310,34.0333882,-106.9705885,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/3/1974 0:00:00,,1707.0,,,,,,,b,18.0,371.0,50.1,,,50.1,,0.2,50.1,SMU 100583,34.0333882,-106.9705885
252,574,dac80d04-447b-3ca6-a257-617f85f12551,NM-00128,34.033387,-107.2172955,SOCORRO AMS,,,NM,BASIN AND RANGE,,,,2590.0,,,,,,,d,230.0,280.0,44.7,,,44.7,,,44.7,SMU 100708,34.033387,-107.2172955
253,647,82ce815d-c0f1-3715-9735-ad6dc6f4623f,NM-00316,34.0250885,-106.9405876,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/7/1974 0:00:00,,1570.0,,,,,,,b,37.0,85.0,60.3,,,60.3,,1.5,60.3,SMU 100583,34.0250885,-106.9405876
254,361,909d6c11-0b9f-3952-bee8-a50125cef9e4,NM-00298,34.0250882,-107.0138897,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1725.0,,,,,,,b,85.0,335.0,37.8,,,37.8,,0.2,37.8,SMU 100583,34.0250882,-107.0138897
255,108,dfb221a4-0320-3659-b7ab-693d16409b7a,NM-00392,34.0250859,-107.4856031,TRES MONTOSAS NEW MEXICO,3S/6W-29,,NM,BASIN AND RANGE,,,,,70.0,,,,,14.7,a,0.0,70.0,95.0,,,,,,95.0,SMU 100572,34.0250859,-107.4856031
256,928,ae45a0e2-e522-3f50-8b7a-fc648d0fb097,NM-00332,34.0217887,-106.9272872,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/19/1978 0:00:00,,1509.0,,,,,,,a,37.0,79.0,36.8,,,36.8,,0.7,36.8,SMU 100583,34.0217887,-106.9272872
257,645,f6990adc-3931-3632-bc19-bc6e83a137c3,NM-00295,34.0200882,-107.0272901,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1829.0,,,,,,,a,107.0,149.0,30.7,,,30.7,,0.3,30.7,SMU 100583,34.0200882,-107.0272901
258,617,fac231a2-5795-3348-8647-a1270947eb4e,NM-00202,34.0167888,-106.9338874,SOCORRO AMS,,,NM,BASIN AND RANGE,,,,1536.0,,,,,,,a,90.0,110.0,50.1,,,50.1,,,50.1,SMU 100444,34.0167888,-106.9338874
259,367,b058d700-8554-3b5e-bff7-1a5b44848b11,NM-00301,34.0167884,-107.0055894,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1707.0,,,,,,,a,18.0,137.0,36.0,,,36.0,,0.4,36.0,SMU 100583,34.0167884,-107.0055894
260,642,a80e02c5-b7a9-37fa-9449-bf5211da3ae2,NM-00286,34.0167882,-107.0422905,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1856.0,,,,,,,a,250.0,408.0,44.9,,,44.9,,0.3,44.9,SMU 100583,34.0167882,-107.0422905
261,832,8714c73d-c26c-3ca0-bbe4-ce2b9475feec,NM-00057,34.0160845,-107.800612,SOCORRO AMS,3S/9W-29,,NM,BASIN AND RANGE,,,,2151.0,,,,,,,b,76.0,259.0,59.7,,,59.7,,,59.7,SMU 100709,34.0160845,-107.800612
262,995,dbc798be-6aee-3796-bc23-806c0fcb4336,NM-00657,34.0150888,-106.9372875,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,,,1536.0,,,,,,,a,25.0,60.0,39.5,,,39.5,,0.7,39.5,SMU 100583,34.0150888,-106.9372875
263,67,f8548633-dff0-3957-bb5e-a41ea67fa05b,NM-00283,34.0150882,-107.060591,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1938.0,,,,,,,a,30.0,91.0,36.0,,,36.0,,0.2,36.0,SMU 100583,34.0150882,-107.060591
264,115,b54f32b3-b433-31ba-a446-6921d1a48d5f,NM-00470,34.0137882,-107.061791,SOCORRO PROSPECT,3S/2W-28,,NM,BASIN AND RANGE,,1/23/1977 0:00:00,1/14/1977 0:00:00,1939.0,91.4,,,,19.34,19.34,a,15.0,88.4,39.3,,,,,,39.3,SMU 1598,34.0137882,-107.061791
265,69,a6c90b21-8975-3b27-804a-ab481fc2e4fa,NM-00292,34.0117884,-107.02729,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1804.0,,,,,,,a,61.0,137.0,28.5,,,28.5,,0.4,28.5,SMU 100583,34.0117884,-107.02729
266,872,f81b0008-383b-3cbd-8d88-e77b446ebc76,NM-00179,34.0100846,-107.8206125,SOCORRO AMS,,,NM,COLORADO PLATEAU,,,,,,,,,,,a,823.0,1463.0,51.8,,,51.8,,,51.8,SMU 100685,34.0100846,-107.8206125
267,765,52de49ae-c66b-336d-81c1-a54d51a00b66,NM-06178,34.008987,-107.3381988,,16S/6W-4,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/15/1980 0:00:00,,1505.0,105.0,75.0,16.3,18.4,,22.52,a,25.0,45.0,95.0,,,,,,95.0,SMU 100562,34.008987,-107.3381988
268,368,a96364a5-351c-3ad7-ae69-b103af17d0d1,NM-00304,34.0083887,-106.9955891,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/1/1980 0:00:00,,1701.0,,,,,,,a,34.0,149.0,45.0,,,45.0,,0.5,45.0,SMU 100583,34.0083887,-106.9955891
269,75,ab51bb77-4477-313b-9466-234aad448d1f,NM-00322,34.0067888,-106.9755885,SOCORRO PROSPECT,1N/3E-31,,NM,BASIN AND RANGE,,1/6/1977 0:00:00,1/27/1977 0:00:00,1622.0,73.0,,,,25.73,25.73,b,9.0,43.0,176.6,,,176.6,,3.0,176.6,SMU 100583,34.0067888,-106.9755885
270,925,c4c25d4b-b1d1-36a5-a6da-0173910861ec,NM-00318,34.0067887,-106.9855888,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/28/1974 0:00:00,,1643.0,,,,,,,a,37.0,140.0,53.8,,,53.8,,0.4,53.8,SMU 100583,34.0067887,-106.9855888
271,83,284cd9aa-66d3-378b-923d-8d422a02b356,NM-00331,34.005089,-106.9438876,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/18/1974 0:00:00,,1582.0,,,,,,,b,20.0,43.0,71.9,,,71.9,,1.1,71.9,SMU 100583,34.005089,-106.9438876
272,80,73f76b22-c7bb-3f07-8663-c18cc5240525,NM-00330,34.003389,-106.9422875,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/7/1974 0:00:00,,1579.0,,,,,,,b,256.0,299.0,85.4,,,85.4,,1.9,85.4,SMU 100583,34.003389,-106.9422875
273,654,3e9078fd-8002-36e7-a006-44cf228a174b,NM-00324,34.0033889,-106.9722884,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/11/1974 0:00:00,,1622.0,,,,,,,b,18.0,88.0,97.8,,,97.8,,0.7,97.8,SMU 100583,34.0033889,-106.9722884
274,74,6901fcf1-5f1f-3895-9247-b455f5624565,NM-00320,34.0017889,-106.9772885,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/28/1974 0:00:00,,1634.0,,,,,,,a,12.0,55.0,159.6,,,159.6,,2.1,159.6,SMU 100583,34.0017889,-106.9772885
275,917,72574903-ad49-3914-98f5-642e766a642c,NM-00289,34.0005886,-107.0372902,SOCORRO PROSPECT,3S/2W-34,,NM,BASIN AND RANGE,,1/6/1977 0:00:00,,1856.0,110.0,,,,18.8,18.8,a,21.0,110.0,16.0,,,16.0,,0.5,16.0,SMU 100583,34.0005886,-107.0372902
276,377,0926f405-1827-3c99-b87d-41a40a432e08,NM-00326,33.998389,-106.9655881,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/5/1974 0:00:00,,1622.0,,,,,,,a,24.0,146.0,31.1,,,31.1,,0.2,31.1,SMU 100583,33.998389,-106.9655881
277,926,bd666b9b-d9ce-3a77-b8e4-564af8f560da,NM-00327,33.9967891,-106.962288,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/5/1974 0:00:00,,1590.0,,,,,,,a,27.0,137.0,48.8,,,48.8,,0.3,48.8,SMU 100583,33.9967891,-106.962288
278,675,40dad37f-a81b-3c20-8531-a30a1a570068,NM-00402,33.9867858,-107.6923087,SAN AGUSTIN,4S/8W-5D,,NM,BASIN AND RANGE,,,,,45.0,,,,,12.2,a,0.0,45.0,33.0,,,,,,33.0,SMU 1602,33.9867858,-107.6923087
279,397,ac15cfaf-0371-38b7-a91a-5b5172fc3e21,NM-00390,33.9833862,-107.6289069,TRES MONTOSAS NEW MEXICO,4S/8W-2D,,NM,BASIN AND RANGE,,,,,130.0,,,,,20.6,a,0.0,130.0,57.0,,,,,,57.0,SMU 100572,33.9833862,-107.6289069
280,175,51472764-e2ec-3c90-ab2a-b02cce16e0f1,NM-06092,33.9767871,-107.4703023,Tularosa,4S/6W-9,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/25/1980 0:00:00,,2216.0,53.5,45.4,11.4,12.34,,13.4,a,20.0,50.0,35.3,,,,,,35.3,SMU 100562,33.9767871,-107.4703023
281,463,a455ae8d-6967-34bb-84f6-97c92b794f2b,NM-06103,33.9747866,-107.5935058,Tularosa,4S/9W-12,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/28/1980 0:00:00,,2116.0,41.3,0.0,14.8,15.12,,15.46,a,21.0,41.3,16.7,,,,,,16.7,SMU 100562,33.9747866,-107.5935058
282,927,ec5832aa-7eab-3fe9-b718-44bee0a7ab79,NM-00328,33.9733897,-106.9572877,SOCORRO PROSPECT,,,NM,BASIN AND RANGE,,1/19/1974 0:00:00,,1585.0,,,,,,,a,21.0,70.0,48.6,,,48.6,,0.9,48.6,SMU 100583,33.9733897,-106.9572877
283,1048,28721511-316c-3203-931b-74f4dab59275,NM-06093,33.9631875,-107.4650021,Tularosa,4S/6W-13,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/25/1980 0:00:00,,2120.0,51.5,,12.1,13.55,,15.68,a,20.0,51.5,67.6,,,,,,67.6,SMU 100562,33.9631875,-107.4650021
284,754,183656b0-8e59-363a-8e98-d49b98fdf6ce,NM-06129,33.960593,-106.3243696,,5S/4E-20,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/27/1980 0:00:00,,1517.0,43.0,25.0,16.0,17.55,,18.23,a,23.0,43.0,34.0,,,,,,34.0,SMU 100562,33.960593,-106.3243696
285,821,486aae8c-38a0-3bac-a86f-61981820f03a,NM-00018,33.9500934,-106.2838684,TULAROSA AMS NEW MEXICO,,,NM,BASIN AND RANGE,,,,1770.0,,,,,,,a,30.0,110.0,22.1,,,22.1,,,22.1,SMU 100708,33.9500934,-106.2838684
286,1004,0ddd499f-7636-3223-8a5b-437e01b28692,NM-00680,33.9500904,-106.9338869,TULAROSA AMS NEW MEXICO,,,NM,BASIN AND RANGE,,,,1555.0,,,,,,,a,110.0,150.0,34.5,,,34.5,,,34.5,SMU 100634,33.9500904,-106.9338869
287,174,43ce899a-84cb-34c0-8f2d-e61ae8eae564,NM-06091,33.9350884,-107.4241007,Tularosa,4S/6W-26,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/25/1980 0:00:00,,2233.0,37.0,9.0,15.7,17.04,,18.02,a,21.0,37.0,61.3,,,,,,61.3,SMU 100562,33.9350884,-107.4241007
288,756,544df315-279a-339d-87a1-4e2110036ffc,NM-06130,33.9333927,-106.521575,,5S/3E-28,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/27/1980 0:00:00,,1492.0,60.0,45.0,14.8,16.41,,19.08,a,20.0,50.0,82.29999999999998,,,,,,82.29999999999998,SMU 100562,33.9333927,-106.521575
289,462,47f66d85-7692-3f95-9967-0aee8ecc46f4,NM-06094,33.9290962,-105.7893541,Roswell,4S/11E-28,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/26/1980 0:00:00,,1799.0,48.0,35.1,13.0,13.79,,14.22,a,23.0,35.0,39.0,,,,,,39.0,SMU 100562,33.9290962,-105.7893541
